Date,sma90 avg_transaction_value,closing_price,sma7 highest_price,opening_price,sma90 closing_price,sma7 opening_price,highest_price,sma90 highest_price,sma30 lowest_price,sma30 closing_price,next_day_closing_price
2013-04-01,0.0,0.0005608728189373316,0.0001997471537736814,0.0003875492707456976,0.0,0.0001779511136231829,0.0004791122513639265,0.0,0.0,0.0,118.0
2013-04-02,8.221522952384791e-05,0.0007814407814407745,0.0002877906031021754,0.0005608436601035327,2.1190808046800402e-05,0.0002485740098913877,0.0006707571519095068,2.065601049971305e-05,3.8380229519650866e-05,4.8025463273176916e-05,135.0
2013-04-03,0.00016850652766231197,0.0010492733073378183,0.000418604513603163,0.0007814001556498695,4.580209991394968e-05,0.0003403373126083034,0.001112776841877508,4.691865242076321e-05,8.300018960538669e-05,0.0001048508018526989,132.1
2013-04-04,0.00024780945575043206,0.001003584229390675,0.0005241656518161358,0.0010492187573847012,6.980620530411957e-05,0.0004474332178045007,0.001037046195694176,7.221734718516892e-05,0.00013021022652987685,0.00015765005369074853,142.3
2013-04-05,0.00032785518362724725,0.0011642837449289054,0.0006420119224935517,0.0010035320547358145,9.589498426526566e-05,0.0005540644986831364,0.001080320850656083,9.804719650527427e-05,0.00018324793634156428,0.00021591328039221452,142.6
2013-04-06,0.0003941182970573637,0.0011690102012682571,0.0007532606220326532,0.0011642232157767218,0.00012204448187411177,0.0006744021969296229,0.0010648656167411147,0.00012369999430681539,0.0002457629727677449,0.00027377389841953814,162.3
2013-04-07,0.00043706909685951867,0.001479380834219536,0.0009150148661477842,0.0011689494263955671,0.00015214069158336896,0.0007914875249532272,0.0013894255289553861,0.0001534643218173426,0.00030557020158979153,0.00034169973330051145,187.5
2013-04-08,0.0005094221379564577,0.001876403166725736,0.0011172645469049794,0.0014793039237000552,0.0001873170281500719,0.0009524798509856908,0.0018530825464043513,0.00018907134944064902,0.00037573773776684166,0.0004226240768039416,230.0
2013-04-09,0.0006307319454776153,0.0025459844814683455,0.0013941350322609833,0.0018763056156834573,0.00023107493359150744,0.0011464605035644837,0.002551659119360776,0.00023357029777430066,0.0004587379273722422,0.0005284526425795577,165.0
2013-04-10,0.000801252990022195,0.0015219189412737782,0.0016648629513847726,0.0025458521200205433,0.00026161641338388886,0.001406650121394723,0.0029519496777583726,0.0002830857058007327,0.0004937628300780567,0.0005955157445873618,124.9
